id,value
analytics,
analytics.Saúde,4749248
animate,
animate.Educação,8109882
data,
data.Administração/Justiça,8092772
display,
display.Amb/San,323477
flex,
flex.ServiçosTécnicos,1561721
physics,
physics.ServiçosGerais,1241708
